Names,PartyNm,Electorate,Provinces
Budi Supriyanto,Partai Golongan Karya,Jawa Tengah X,Jawa Tengah
Siti Hediyati Soeharto,Partai Golongan Karya,DI Yogyakarta,DI Yogyakarta
Adies Kadir,Partai Golongan Karya,Jawa Timur I,Jawa Timur
Mukhamad Misbakhun,Partai Golongan Karya,Jawa Timur II,Jawa Timur
Hardisoesilo,Partai Golongan Karya,Jawa Timur III,Jawa Timur
Muhammad Nur Purnamasidi,Partai Golongan Karya,Jawa Timur IV,Jawa Timur
Ridwan Hisjam,Partai Golongan Karya,Jawa Timur V,Jawa Timur
Sarmuji,Partai Golongan Karya,Jawa Timur VI,Jawa Timur
Gatot Soedjito,Partai Golongan Karya,Jawa Timur VII,Jawa Timur
Mohammad Suryo Alam,Partai Golongan Karya,Jawa Timur VIII,Jawa Timur
SW Yudha,Partai Golongan Karya,Jawa Timur IX,Jawa Timur
Eni Maulani S,Partai Golongan Karya,Jawa Timur X,Jawa Timur
Zainudin Amali,Partai Golongan Karya,Jawa Timur II,Jawa Timur
Andika Hazrumy,Partai Golongan Karya,Banten I,Banten
Yayat Y Biaro,Partai Golongan Karya,Banten III,Banten
Andi Achmad Dara,Partai Golongan Karya,Banten III,Banten
Gde Sumarja Linggih,Partai Golongan Karya,Bali,Bali
AA Bagus Adhi Mahendra Putra,Partai Golongan Karya,Bali,Bali
Muhammad Lutfi,Partai Golongan Karya,Nusa Tenggara Barat,Nusa Tenggara Barat
Melchias Markus Mekeng,Partai Golongan Karya,Nusa Tenggara Timur I,Nusa Tenggara Timur
Setya Novanto,Partai Golongan Karya,Nusa Tenggara Timur I,Nusa Tenggara Timur
Charles J Mesang,Partai Golongan Karya,Nusa Tenggara Timur II,Nusa Tenggara Timur
Zul Fadhli,Partai Golongan Karya,Kalimantan Barat,Kalimantan Barat
Agati Sulie Mahyudin,Partai Golongan Karya,Kalimantan Tengah,Kalimantan Tengah
Ahmadi Noor Supit,Partai Golongan Karya,Kalimantan Selatan I,Kalimantan Selatan
Indro Hananto,Partai Golongan Karya,Kalimantan Selatan I,Kalimantan Selatan
Hasnuryadi Sulaiman,Partai Golongan Karya,Kalimantan Selatan II,Kalimantan Selatan
Mahyudin,Partai Golongan Karya,Kalimantan Timur,Kalimantan Timur
Neni Moerniaeni,Partai Golongan Karya,Kalimantan Timur,Kalimantan Timur
Aditya Anugrah Moha,Partai Golongan Karya,Sulawesi Utara,Sulawesi Utara
Mohammad Said,Partai Golongan Karya,Sulawesi Tengah,Sulawesi Tengah
Hamka B Kady,Partai Golongan Karya,Sulawesi Selatan I,Sulawesi Selatan
Syamsul Bachri,Partai Golongan Karya,Sulawesi Selatan II,Sulawesi Selatan
Andi Rio Idris Padjalangi,Partai Golongan Karya,Sulawesi Selatan II,Sulawesi Selatan
Markus Nari,Partai Golongan Karya,Sulawesi Selatan III,Sulawesi Selatan
Andi Fauziah Pujiwatie Hatta,Partai Golongan Karya,Sulawesi Selatan III,Sulawesi Selatan
Ridwan Bae,Partai Golongan Karya,Sulawesi Tenggara,Sulawesi Tenggara
Fadel Muhammad,Partai Golongan Karya,Gorontalo,Gorontalo
Roem Pono,Partai Golongan Karya,Gorontalo,Gorontalo
Enny Anggraeny Anwar,Partai Golongan Karya,Sulawesi Barat,Sulawesi Barat
Edison Betaubun,Partai Golongan Karya,Maluku,Maluku
Saiful Bahri Ruray,Partai Golongan Karya,Maluku Utara,Maluku Utara
Elion Numberi,Partai Golongan Karya,Papua,Papua
