Name,PartyNm,Electorate,Provinces,Votes
Rendy M Affandy Lamadjido,Partai Demokrasi Indonesia Perjuangan,Sulawesi Utara,Sulawesi Utara,"47,709"
Andi Ridwan Wittiri,Partai Demokrasi Indonesia Perjuangan,Sulawesi Selatan I,Sulawesi Selatan,"41,356"
Samsu Niang,Partai Demokrasi Indonesia Perjuangan,Sulawesi Selatan II,Sulawesi Selatan,"39,122"
Mercy Chriesty Barends,Partai Demokrasi Indonesia Perjuangan,Maluku,Maluku,"65,166"
Irine Yusiana Roba Putri,Partai Demokrasi Indonesia Perjuangan,Maluku Utara,Maluku Utara,"52,677"
Komarudin Watubun,Partai Demokrasi Indonesia Perjuangan,Papua,Papua,"120,724"
Tony Wardoyo,Partai Demokrasi Indonesia Perjuangan,Papua,Papua,"136,642"
Jimmy Demianus Ijie,Partai Demokrasi Indonesia Perjuangan,Papua Barat,Papua Barat,"69,908"
Salim Fakhry,Partai Golongan Karya,Aceh I,Aceh,"42,557"
Firmandez,Partai Golongan Karya,Aceh II,Aceh,"24,861"
Meutya Hafid,Partai Golongan Karya,Sumatera Utara I,Sumatera Utara,"45,232"
Rambe Kamarul Zaman,Partai Golongan Karya,Sumatera Utara II,Sumatera Utara,"59,978"
Delia Pratiwi BR Sitepu,Partai Golongan Karya,Sumatera Utara III,Sumatera Utara,"127,845"
Anthon Sihombing,Partai Golongan Karya,Sumatera Utara III,Sumatera Utara,"66,601"
Betti Shadiq Pasadigoe,Partai Golongan Karya,Sumatera Barat I,Sumatera Barat,"77,663"
John Kenedy Azis,Partai Golongan Karya,Sumatera Barat II,Sumatera Barat,"53,182"
Tabrani Maamun,Partai Golongan Karya,Riau I,RIAU,"57,200"
HM Idris Laena,Partai Golongan Karya,Riau II,RIAU,"91,595"
Saniatul Lativa,Partai Golongan Karya,Jambi,Jambi,"87,911"
Dodi Reza Alex Noerdin,Partai Golongan Karya,Sumatera Selatan I,Sumatera Selatan,"203,246"
Kahar Muzakir,Partai Golongan Karya,Sumatera Selatan I,Sumatera Selatan,"49,025"
Bobby Adhityo Rizaldi,Partai Golongan Karya,Sumatera Selatan II,Sumatera Selatan,"67,456"
Dwie Aroem Hadiyatie,Partai Golongan Karya,Lampung I,Lampung,"32,808"
Aziz Syamsuddi,Partai Golongan Karya,Lampung II,Lampung,"70,619"
Azhar Romli,Partai Golongan Karya,Bangka Belitung,Bangka Belitung,"33,693"
Bambang Wiyogo,Partai Golongan Karya,Jakarta I,DKI Jakarta,"45,617"
Fayakhun Andriadi,Partai Golongan Karya,Jakarta II,DKI Jakarta,"25,446"
Tantowi Yahya,Partai Golongan Karya,Jakarta III,DKI Jakarta,"45,507"
Popong Otje Djunjunan,Partai Golongan Karya,Jawa Barat I,Jawa Barat,"26,090"
Agus Gumiwang Kartasasmita,Partai Golongan Karya,Jawa Barat II,Jawa Barat,"102,469"
Lili Asdjudiredja,Partai Golongan Karya,Jawa Barat II,Jawa Barat,"44,285"
Deding Ishaq,Partai Golongan Karya,Jawa Barat III,Jawa Barat,"33,009"
Eka Sastra,Partai Golongan Karya,Jawa Barat III,Jawa Barat,"74,458"
Dewi Asmara,Partai Golongan Karya,Jawa Barat IV,Jawa Barat,"77,158"
Airlangga Hartarto,Partai Golongan Karya,Jawa Barat V,Jawa Barat,"113,939"
Ichsan Firdaus,Partai Golongan Karya,Jawa Barat V,Jawa Barat,"27,986"
Wenny Haryanto,Partai Golongan Karya,Jawa Barat VI,Jawa Barat,"32,906"
Ade Komarudin,Partai Golongan Karya,Jawa Barat VII,Jawa Barat,"167,732"
Dadang S Muchtar,Partai Golongan Karya,Jawa Barat VII,Jawa Barat,"69,414"
Dave Akbarshah Fikarno,Partai Golongan Karya,Jawa Barat VIII,Jawa Barat,"80,748"
Daniel Mutaqien Syafiuddin,Partai Golongan Karya,Jawa Barat VIII,Jawa Barat,"91,958"
Eldie Suwandie,Partai Golongan Karya,Jawa Barat IX,Jawa Barat,"90,588"
Agun Gunanjar Sudarsa,Partai Golongan Karya,Jawa Barat X,Jawa Barat,"69,359"
Ferdiansyah,Partai Golongan Karya,Jawa Barat XI,Jawa Barat,"67,837"
Ahmad Zacky Siradj,Partai Golongan Karya,Jawa Barat XI,Jawa Barat,"30,833"
Mujib Rohmat,Partai Golongan Karya,Jawa Tengah I,Jawa Tengah,"36,163"
Nusron Wahid,Partai Golongan Karya,Jawa Tengah II,Jawa Tengah,"243,021"
Bowo Sidik Pangarso,Partai Golongan Karya,Jawa Tengah II,Jawa Tengah,"66,909"
Firman Subagyo,Partai Golongan Karya,Jawa Tengah III,Jawa Tengah,"90,757"
Endang Maria Astuti,Partai Golongan Karya,Jawa Tengah IV,Jawa Tengah,"44,081"
Endang Srikarti Handayani,Partai Golongan Karya,Jawa Tengah V,Jawa Tengah,"48,547"
Iqbal Wibisono,Partai Golongan Karya,Jawa Tengah VI,Jawa Tengah,"50,868"
Bambang Soesatyo,Partai Golongan Karya,Jawa Tengah VII,Jawa Tengah,"57,235"
Dito Ganindito,Partai Golongan Karya,Jawa Tengah VIII,Jawa Tengah,"49,137"
Agung Widyantoro,Partai Golongan Karya,Jawa Tengah IX,Jawa Tengah,"75,577"
Budi Supriyanto,Partai Golongan Karya,Jawa Tengah X,Jawa Tengah,"57,339"
Siti Hediyati Soeharto,Partai Golongan Karya,DI Yogyakarta,DI Yogyakarta,"61,655"
Adies Kadir,Partai Golongan Karya,Jawa Timur I,Jawa Timur,"30,093"
Mukhamad Misbakhun,Partai Golongan Karya,Jawa Timur II,Jawa Timur,"66,899"
Hardisoesilo,Partai Golongan Karya,Jawa Timur III,Jawa Timur,"34,000"
Muhammad Nur Purnamasidi,Partai Golongan Karya,Jawa Timur IV,Jawa Timur,"26,438"
Ridwan Hisjam,Partai Golongan Karya,Jawa Timur V,Jawa Timur,"43,796"
Sarmuji,Partai Golongan Karya,Jawa Timur VI,Jawa Timur,"57,586"
Gatot Soedjito,Partai Golongan Karya,Jawa Timur VII,Jawa Timur,"54,344"
Mohammad Suryo Alam,Partai Golongan Karya,Jawa Timur VIII,Jawa Timur,"56,702"
SW Yudha,Partai Golongan Karya,Jawa Timur IX,Jawa Timur,"46,022"
Eni Maulani S,Partai Golongan Karya,Jawa Timur X,Jawa Timur,"84,837"
Zainudin Amali,Partai Golongan Karya,Jawa Timur II,Jawa Timur,"122,167"
Andika Hazrumy,Partai Golongan Karya,Banten I,Banten,"70,846"
Yayat Y Biaro,Partai Golongan Karya,Banten III,Banten,"31,668"
Andi Achmad Dara,Partai Golongan Karya,Banten III,Banten,"73,408"
Gde Sumarja Linggih,Partai Golongan Karya,Bali,Bali,"141,168"
AA Bagus Adhi Mahendra Putra,Partai Golongan Karya,Bali,Bali,"71,964"
Muhammad Lutfi,Partai Golongan Karya,NTB,NTB,"59,074"
Melchias Markus Mekeng,Partai Golongan Karya,NTT I,NTT,"73,120"
Setya Novanto,Partai Golongan Karya,NTT I,NTT,"85,188"
Charles J Mesang,Partai Golongan Karya,NTT II,NTT,"54,514"
Zul Fadhli,Partai Golongan Karya,Kalimantan Barat,Kalimantan Barat,"100,583"
Agati Sulie Mahyudin,Partai Golongan Karya,Kalimantan Tengah,Kalimantan Tengah,"32,297"
Ahmadi Noor Supit,Partai Golongan Karya,Kalimantan Selatan I,Kalimantan Selatan,"71,233"
Indro Hananto,Partai Golongan Karya,Kalimantan Selatan I,Kalimantan Selatan,"64,206"
Hasnuryadi Sulaiman,Partai Golongan Karya,Kalimantan Selatan II,Kalimantan Selatan,"82,130"
Mahyudin,Partai Golongan Karya,Kalimantan Timur,Kalimantan Timur,"91,623"
Neni Moerniaeni,Partai Golongan Karya,Kalimantan Timur,Kalimantan Timur,"61,405"
Aditya Anugrah Moha,Partai Golongan Karya,Sulawesi Utara,Sulawesi Utara,"77,264"
Mohammad Said,Partai Golongan Karya,Sulawesi Tengah,Sulawesi Tengah,"131,508"
Hamka B Kady,Partai Golongan Karya,Sulawesi Selatan I,Sulawesi Selatan,"45,717"
Syamsul Bachri,Partai Golongan Karya,Sulawesi Selatan II,Sulawesi Selatan,"66,519"
Andi Rio Idris Padjalangi,Partai Golongan Karya,Sulawesi Selatan II,Sulawesi Selatan,"77,962"
